상호명,도로명주소,상권업종중분류명,경도,위도,e음카드
대박각,인천광역시 중구 우현로72번길 18,중식,126.630568014134,37.4730128224551,
주류상회비인천,인천광역시 중구 신포로 25-2,서양식,126.624912621785,37.4713461656783,
가월,인천광역시 부평구 길주남로125번길 12,한식,126.735886021187,37.5045510396753,
쏘웰9공수카페,인천광역시 남동구 만의골로 222,한식,126.77300790027,37.4622178152287,
원주추어탕,인천광역시 미추홀구 장고개로 79,한식,126.668996058405,37.4749197219872,
탑푸드,인천광역시 남동구 담방로47번길 8-14,한식,126.738379859219,37.4445314659844,
토방,인천광역시 남동구 장승남로47번길 32-4,한식,126.737757137293,37.4448724705423,
밥향기,인천광역시 연수구 인천타워대로 323,한식,126.629573812092,37.3995232605827,
한양회관,인천광역시 미추홀구 낙섬서로 51,한식,126.636199816409,37.453937959206,
강화생선구이맛집,인천광역시 강화군 길상면 해안동로 124,한식,126.52760661519,37.6375001464116,
해빙펀컴퍼니,인천광역시 강화군 선원면 해안동로 1017,한식,126.516861800882,37.7063449262215,
양순네칼국수,인천광역시 남동구 인주대로676번길 22,한식,126.711629591708,37.4479471307695,
5.5닭갈비,인천광역시 미추홀구 소성로 184,한식,126.668433487498,37.4410312118428,
잔정,인천광역시 서구 염곡로498번길 11,한식,126.670622526708,37.5293177523662,
어가싱싱회종합어시장,인천광역시 미추홀구 석바위로 37,일식,126.677173456324,37.4608956433136,
촌장서서갈비,인천광역시 부평구 부평대로165번길 10,한식,126.720251123331,37.5058935815834,
미궁장어구이,인천광역시 남동구 만의골로 168,한식,126.773678528808,37.4572275036801,
미락해장국,인천광역시 계양구 계산천동로 8,한식,126.723285104718,37.5387872266787,
미가헌명가만두전골,인천광역시 연수구 독배로40번길 29,한식,126.6465665812,37.4244973502229,
쮸즈딤섬익스프레스,인천광역시 남동구 논고개로 87,중식,126.725324282486,37.399072652609,
느그집,인천광역시 남동구 하촌서로17번길 4,한식,126.729386212564,37.4503587810719,
황칠본가족발양푼이동태탕,인천광역시 미추홀구 주안로160번길 76,한식,126.68736036854,37.4602022257572,
용곱창,인천광역시 서구 장고개로 272,한식,126.682234581383,37.4882188641834,
무봉리토종순대국연안부두점,인천광역시 중구 연안부두로53번길 35,한식,126.604446596733,37.4529349394105,
우리왕족발,인천광역시 계양구 길마로 33,한식,126.709284480047,37.5340503824406,
제물포회집,인천광역시 중구 연안부두로33번길 45,한식,126.60712012872,37.4538899154649,
자연으로,인천광역시 연수구 동곡재로 190,한식,126.664762976777,37.4127110224413,
구포잔치국수,인천광역시 서구 청라커낼로 280,한식,126.644944505347,37.533405950611,
별미식당,인천광역시 동구 화수로 81-1,한식,126.630168667631,37.4852291928374,
홍콩짬뽕,인천광역시 미추홀구 인하로257번길 15,중식,126.676704720618,37.4490010399216,
동오산업개발97도씨해물칼국수,인천광역시 중구 영종진광장로 39,한식,126.578600394334,37.4950396106136,
숯불장어나라,인천광역시 강화군 길상면 장흥로 309,한식,126.492053731981,37.6242432216188,
한포차,인천광역시 중구 용유서로479번길 10,한식,126.370622822852,37.4612463543753,
최복남직화쭈꾸미명가,인천광역시 남동구 경인로 520,한식,126.697067223965,37.4607861326574,
일미닭갈비파전,인천광역시 미추홀구 경인남길30번길 58,한식,126.657537675066,37.4515149323498,
